audiocap_id,youtube_id,start_time,caption,dataset_source
106663,_w2pA1VeB40,70.0,a group of people laughing followed by farting,test
106661,JnSwRonB9wI,30.0,"screaming, wind and an engine running, and laughing",test
106660,RNBoH2LHQEM,370.0,a crowd applauds with a man speaking briefly in the middle,test
106667,paetCbEqp2w,60.0,a series of computer mouse clicks followed by a kid crying,test
106666,Ls1zyPjs3k8,280.0,a series of electronic beeps followed by static,test
106665,K03ydb1uaoQ,40.0,loud snoring repeating,test
106664,ific_gRalg0,30.0,water pouring down a drain with a series of metal clangs followed by a metal chain rattling,test
106669,BlbGXalLNVU,70.0,a man talking as water splashes,test
106668,1nUOGZgSzZo,30.0,wind blowing and water splashing,test
107130,hrv6fwnmBkY,28.0,a rooster clucking followed by a dog whimpering then a man talking and a dog barking,test
107131,zEaGx6an4es,270.0,a power tool drill operating continuously,test
107133,Dt53UZgyznE,9.0,"pretend screaming and crying is occurring, and an adult male begins to speak",test
107136,fGGYeXR_LS8,30.0,whistling as a man speaks,test
107137,_ezm-TpKj1w,30.0,"a mid-size motor vehicle engine is revving repeatedly, while people talk in the background",test
107138,hJtOGmN_KVw,140.0,a man is speaking as paper is crumpling,test
107139,UmNrhFKpWIY,21.0,a vehicle engine revving then powering down,test
103934,1FNJbN-eHY4,30.0,a crowd of people talking followed by two girls belching with a group of girls laughing,test
103935,KJhGuhNHToA,30.0,a few seconds of silence then a rasping sound against wood,test
103936,EQVWhHmT_cE,13.0,some claps followed by a man speaking then glass breaking and people laughing,test
103937,UCy1BEx8jBE,50.0,a man speaking as a stream of water splashes and flows while music faintly plays in the distance,test
103930,F7QtqKtllK0,50.0,continuous snoring of a person,test
103931,alaxBd_EEUc,40.0,a man talking followed by a series of belches,test
103932,GSHcgY6ATkQ,70.0,a man speaks while typing occurs,test
103933,xYwpABpZed4,370.0,a woman speaks as she fries food,test
103938,Lbken4JCr94,10.0,thunder and a gentle rain,test
103939,_xylo5_IiaM,470.0,a woman talks and a baby whispers,test
105131,z1ax0QPpd14,170.0,"birds are chirping, and ducks are making noises",test
105882,3MoF8myFs8Y,0.0,ocean waves crashing as a man talks in the distance and wind heavily blows into a microphone,test
105880,BMayJId0X1s,120.0,a man speaking as a baby is crying over a radio,test
105881,PMMkPq5jJXY,0.0,burping and then laughing with continuous burping,test
105887,tfOIhQpYYe8,60.0,"an aircraft motor is running and whirring is present, helicopter rotors slap rhythmically, and an adult male speaks in the background",test
105884,AtkD-3GjXMw,40.0,music is playing with machine gun sounds,test
105885,6Nvu6EcpdE8,30.0,"the wind is blowing, an adult male speaks via an electronic device, and a click occurs",test
105888,zoxFl3pddMg,2.0,nature sounds with a frog croaking,test
105889,VQnmlf2OsUg,50.0,helicopter blades spinning,test
107031,A2mcp0N__7U,30.0,a crowd speak in the distance followed by sneezing,test
107030,szkiW0GXEOI,100.0,whistling and birds chirping back and forth,test
107033,hVUmQfBIYe8,100.0,"an adult male speaks while crunching footfalls occur, then a metal car door clicks open, slight rustling occurs, and metal clinks",test
107032,jjHIINDfE1c,20.0,a tractor engine driving by followed by a car horn honking and wind blowing on a microphone,test
107035,z4MeV9IGVo0,30.0,distant humming followed by men speaking over a radio,test
107034,dJYO3RbBabE,0.0,"a short, single beep followed by a man talking",test
107037,6cS0FsUM-cQ,30.0,"an adult male speaks, a cat caterwauls and hisses angrily, and an adult female speaks",test
107036,0jGH7A_hpBM,30.0,two men are speaking and paper is being shuffled,test
107039,B4SZwi9Ce3o,30.0,a man talks over a clicking sound and a car engine switches gears and speeds up,test
107038,9ucb5HYO8ps,20.0,a girl burping then laughing followed by a group of girls laughing and talking,test
106869,hzn_wGlzGpU,90.0,an aircraft accelerating as gusts of wind blow followed by fiber glass clanking while an emergency siren goes off in the background,test
106865,EvZ3jOMYWxk,30.0,an adult female is speaking in a quiet environment,test
106864,5G6b_QWL3nY,60.0,female speech and sizzling,test
106867,PRUfwpmYwJ8,30.0,compressed air spraying multiple times as a man is talking with faint metal clanging in the background,test
106866,hhSqQN1Ou68,30.0,groaning and rustling,test
3452,0NGSrwioYjA,30.0,there is a  mature male talking to some animals,test
106146,6Pywt0f_NFY,160.0,water running continuously,test
106147,h5_1pnkl_SY,50.0,"water trickles, splashes and gurgles, slow at first and then faster, and an adult male is speaking",test
106144,fx4r_KuW6No,50.0,a woman talking back and forth with a child who is crying,test
106145,9F3sutgYTvo,30.0,a man yelling followed by an infant crying then a woman shouting as a crowd of people talk and laugh,test
106142,jOYvIISk--4,110.0,a man speaking as a faucet pours water several times while water drains down a pipe,test
106143,7P6lcyeDKNI,0.0,dirt shuffling followed by gears cranking and a branch snapping then a man talking,test
106141,QHfyKaOHSz4,0.0,fly buzzing followed by frog swallowing it and then a croak,test
106148,SE_3nszEw7o,22.0,hissing together with an engine chugging,test
106149,_iUX8CibElk,120.0,sustained industrial engine noise,test
103017,2JutOgAnqWA,120.0,humming and vibrating of a power tool with some high frequency squealing,test
103016,bX2vDaHL26U,60.0,Loud wind noise followed by a car accelerating fast,test
103015,Xf5LjaE_JQ0,30.0,a man speaks with distant traffic passing and some nearby rattling,test
103014,0NGSrwioYjA,30.0,a man talking followed by a goat baaing as wind lightly blows into a microphone followed by a crow cawing in the distance,test
103013,Ch0LMmhBUg4,260.0,a man talking as a kid yells followed by an aircraft flying in the distance as wind blows into a microphone,test
103012,l5KdHAWwJCw,30.0,a clock ticks with breathing in the background,test
103011,VE6Ku0-ucUM,30.0,a man speaks followed by popping noise and laughter,test
103010,YIqpIjjee00,30.0,water running from a flushed toilet,test
103019,ItS07xtdi4s,30.0,fire igniting followed by an electronic beep then footsteps running on concrete as vehicle engines run idle and horns honk in the background,test
103018,HeEa1GZpUGI,30.0,several gunshots with a click and glass breaking,test
104135,1IoHRTUp86c,70.0,a woman speaks briefly over a radio with an aircraft engine running,test
104134,CvNAwby6Xos,220.0,a man talking as a sewing machine rapidly operates and hums,test
106567,m8wV38lf2jg,20.0,a siren that gets louder and muffled male speech,test
14808,52IxrdTxGs4,30.0,"a large explosion and a heartbeat, a person speaks",test
105147,gQMTOKsCIyk,0.0,ducks quacking and chirping followed by a man talking while water trickles,test
105146,Ls2vrr9TamU,120.0,humming from a motor with loud dry cracking,test
105144,NlKlRKz8OKI,90.0,a woman speaks followed by birds chirping,test
105143,31WGUPOYS5g,22.0,child speaks and an emergency siren sounds,test
105142,4SZ7JXDCNps,210.0,an engine booms and hums with constant rattling,test
105141,zIgGMlZENTs,30.0,a duck quacks followed by a man talking while birds chirp in the distance,test
105140,1GgEpRZDWN0,410.0,a woman and a man talking as another man talks softly and papers shuffle in the background,test
105149,qF72bT878gw,14.0,a speedboat running as wind blows into a microphone,test
105148,rgrmLLhxoCQ,70.0,rubbing and scraping a rough surface,test
105929,9BGLAUSF0sk,30.0,an engine running,test
105928,_duNX6Vyd6g,30.0,a speedboat is racing across water with loud wind noise,test
105921,FA11v4SmdBc,70.0,male speech and then whistling,test
105920,7QN3lwOzfdg,0.0,a man speaking through a telephone speaker as another man is talking,test
105923,OUUckswAaNI,100.0,a short hammering sound followed by two men speaking,test
105922,AgaiowyYt88,30.0,a loud and forceful bang,test
105925,Tdl9SmBbRnA,50.0,speaking and an engine running,test
105924,6OlHuvJR_Dk,30.0,A helicopter engine working,test
105927,bygBWUkpaC8,270.0,A male speech and wind and then birds chirping,test
105926,FfUqv0Vv3ME,20.0,a man speaking followed by a woman talking then plastic clacking as footsteps walk on grass and a rooster crows in the distance,test
596,-DmjkgWa-rw,10.0,a bell is ringing,test
103198,KtinboYbmHQ,50.0,a vehicle driving by while revving as tires skid and squeal,test
103199,rUq4w4EUSWA,0.0,loud buzzing followed by rustling and a toilet flushing,test
103192,HUwXtfYRFwk,0.0,a bus engine running as several vehicles pass by and car horns honk in the distance,test
103193,0rSETXszQM0,100.0,motorcycle starting then driving away,test
103191,fwhkCnOeyC0,350.0,applause and speech followed by a loud high pitched bell and more applause and speech,test
103196,EbpOXac13yo,30.0,vehicles driving by as a muffled engine runs while a man speaks then another man speaking in the distance,test
103197,_YS5uKWoB6g,30.0,a kid crying as a man and a woman talk followed by a car door opening then closing,test
103194,yhDw7PZje3g,30.0,two men speaking with loud insects buzzing,test
103195,dxow2DcTrwk,70.0,rain falls and a man speaks with distant thunder,test
81302,jid4t-FzUn0,20.0,a man speaking and laughing followed by a goat bleat,test
13482,4Ujigme2IxY,30.0,"a motor vehicle is running and vibrating, and a high-pitched squeal occurs",test
103700,0a9wVat2PWk,230.0,a train sounds horn and travels,test
3628,0Rpjl1AO-P0,30.0,a car engine is revving while driving,test
106371,u8bQf0SnCVI,30.0,tapping followed by water spraying and more tapping,test
106370,QARuiRtfy-k,160.0,a power tool drilling as music plays followed by someone blowing air then plastic clanking and a man speaking,test
106373,bUTOsLXYyxg,220.0,a man talking followed by another man speaking then a group of people laughing and a man speaking a bit in the background,test
106372,6eX6bJOFftA,11.0,a crowd of people talking as ducks quack and a motorboat speeds by in the distance,test
106375,2ErfX6ZT5pM,0.0,some child speaking in the distant and a toilet flushing,test
106377,FDwK7T1JO_0,160.0,two men speaking followed by plastic clacking then a power tool drilling,test
106376,40cuHrYfaqA,0.0,dogs barking and growling followed by a man talking,test
106379,XrJcmftCY04,180.0,a crowd of people applauding and cheering,test
106378,a_Rjlu50TfA,0.0,a person snoring during a series of thumps followed by a man talking in the background,test
107428,DzKjogSVOLM,21.0,ducks quacking and birds chirping followed by a rooster crowing as a crowd of people talk,test
107429,5t6tSW0yT40,410.0,a machine is used to spray an object,test
107426,zoctgurhvHE,70.0,a man speaking as plastic is clanking followed by a door hatch opening and plastic tumbling with a vehicle engine revving in the background,test
107427,RdC8cviN6Bs,30.0,"rain is splashing on a surface while rustling occurs and a car door shuts, and traffic is discernible in the distance",test
107424,Pb6MqpdX5Jw,40.0,Rain falls and distant thunder roars with nearby faint clip-clops of a horse,test
107425,mUGmCSNETcg,310.0,a woman talking as food and oil sizzles and metal clacks in a pot followed by a girl speaking,test
107422,B8rdur4aams,30.0,a vehicle engine gurgling followed by a horn tooting as wind blows into a microphone,test
107423,gQMTOKsCIyk,0.0,chirps from several ducks as a man speaks,test
107421,3wrdPAeqjVI,80.0,a man speaks with some high pitched ringing and some rustling,test
105488,6cS0FsUM-cQ,30.0,a cat meowing followed by people speaking,test
105489,FfUqv0Vv3ME,20.0,a male speaking and rustling,test
105486,OmmPaIAXN0s,30.0,a man speaking followed by a horse trotting,test
105487,bmEF-c-M174,180.0,"a duck quacks repeatedly and soft thumping occurs, a bird chirps twice, and an adult male speaks",test
105484,GOD8Bt5LfDE,100.0,A quiet machine running and a child speaking and then an adult speaks and the child laughs,test
105485,59VP93Tzjmg,40.0,train blowing horn then approaching track sounds,test
105482,3VHpLxtd498,30.0,graveling shuffling followed by a young kid talking as pigeons are cooing and a motor hums in the background,test
105483,OTLtzk0W4zg,300.0,A vehicle running and a man talking,test
105480,Rtenf2XSXRc,5.0,"a mid-size motor vehicle engine idles smoothly and is then revved several times, followed by a car door shutting",test
105481,D9GHUPGWsV0,30.0,a woman and man speak as click-clops occur and a sheep bleets,test
104999,T32kii824pA,240.0,plastic cranking followed by metal rattling then a series of metal falling in the background as a man is talking,test
104998,JBWJQCS4SvA,30.0,bird chirping while waves come in with high wind,test
104997,Lh0UmwRgA7s,30.0,different types of emergency sirens ring,test
104996,-EQByFLFqig,21.0,a man speaks with rain falling and thunder cracking,test
104995,2UNuMbxz9ds,22.0,a vehicle engine revving then sharply accelerating as tires skid as leather whips against fiberglass three times,test
104994,qZEIs6tS5vk,0.0,a truck engine revving followed by tires skidding as a crowd of people talk in the background,test
104993,jf4iyQPJSvk,20.0,"water is falling, splashing and gurgling",test
104992,ARFFw0e_jig,20.0,a series of distorted burps followed by non-distorted burps,test
103422,js4dr5JusdM,30.0,"a woman speaks quietly, and man answers much louder, then she speaks again",test
103423,alaxBd_EEUc,40.0,a man speaks followed by eructation,test
103420,5eSRL3PRHzo,340.0,a crowd applauds for a while,test
103426,-EQByFLFqig,21.0,a man speaking as rain lightly falls followed by thunder,test
103427,HVz-FJBf_iM,10.0,toilet flushes and water gurgles as it drains,test
103424,BXxlqaDvdaA,30.0,a man talking as ocean waves trickle and splash while wind blows into a microphone,test
103428,1PvMtRIlZNI,0.0,a stream of water trickling as plastic clanks against a metal surface followed by water pouring down a drain alongside a camera muffling,test
103429,PMMdAKZxI_I,40.0,"loud burping speech followed by women laughing, alongside a man and woman talking in the background",test
103790,orgwzt45ojE,30.0,a man talking as pigeons coo and bird wings flap,test
103792,os_2U4xqTqw,100.0,heavy footsteps walking on a hard surface followed by a man grunting then two explosions,test
104344,jPayI-MTnag,14.0,a motorboat engine running,test
105381,AizmnCDlXos,8.0,a steady ringing with the tick tock of a clock,test
105380,ZBtgrP4vU_w,50.0,sizzling and crackling are occurring,test
105383,3qrVku794u0,12.0,a man talking before and after a young kid talks as plastic rattles followed by an electronic beep,test
105382,MPLZUg89y5U,90.0,male speaking with rustling in the background,test
105385,2t82STv2GR8,110.0,bells are ringing with echo repeatedly,test
105384,-DmjkgWa-rw,10.0,a bell ringing repeatedly,test
105387,zq00Oe1ecpE,140.0,a bus engine driving then slowing down before accelerating,test
105386,ktc_tJxw8sc,50.0,an infant crying,test
105389,pI_kPedctoo,10.0,motorcycle engines running and revving as a man talks in the background,test
105388,y93cZqNCtks,470.0,a series of gunshots followed by a man speaking and footsteps running proceeded by more gunshots firing and a dog growling,test
103189,o3mZR8OvPko,30.0,a car accelerating and squealing on road,test
104654,404cD3bVXDc,30.0,an infant crying then shouting as a man talks through a television speaker,test
104655,1slvoNgzBLE,160.0,a subway train signal plays followed by a bell chiming followed by a horn honking as a crowd of people talk in the background,test
104656,frOqlk0Wm5Y,30.0,a man talking as metal clacks followed by metal scrapping against a metal surface,test
104657,JZloTOdIY_c,30.0,horses growl and clop hooves,test
104650,IJ6pm5Kns8A,170.0,"a woman speaks, then a phone chimes, then there is a burp followed by laughter",test
104651,h0M4RS8p_mo,0.0,audio static followed by a man laughing before an electronic device motor slides then an infant cries,test
104652,z4MeV9IGVo0,30.0,a man speaking through a radio as a truck engine runs idle and a vehicle accelerates in the distance,test
104653,63KW_EQ72yU,30.0,several very loud explosions occur,test
104658,Jfaj4P3us9M,27.0,a telephone dialing tone followed by a plastic switch flipping on and off,test
104659,bpv_LneHmfU,10.0,humming of a distant aircraft engine,test
105525,nlC4UI4hZ60,10.0,"rapid clicking occurs, a motor vehicle engine attempts to start and grinds, then the engine fully engages and begins to run and vibrate",test
105524,E3D_z0aoUEg,30.0,frogs croaking and a humming with insects vocalizing,test
105527,E3Q1jfTeuWs,30.0,a baby crying and breathing,test
105526,woadpeAGHUQ,70.0,an emergency vehicles siren with a brief male yell,test
105521,AtkD-3GjXMw,40.0,music plays as a man is singing followed by muffled rapid gunshots firing,test
105520,xIztYnMIWUA,30.0,a telephone ringing,test
105523,AbplcXwXnvE,30.0,plastic crinkling as a young girl is talking,test
105522,3ghVB-KaU_E,30.0,a man talking followed by a brush scrapping then liquid spraying in the background,test
105529,ktc_tJxw8sc,50.0,a crying and moaning in a low voice,test
105528,2ItTq2JShdU,30.0,train engine as it travels,test
103181,WmDe2xbnSY4,190.0,Bursts of video game gunfire and popping occur in rapid succession,test
103186,FXdoNvmrYxo,280.0,a child speaks followed by a man and child communicating as birds are tweeting,test
105182,fK4QBQZ6i7w,290.0,a hissing sound followed by laughter,test
105184,RNBoH2LHQEM,370.0,a crowd of people applauding,test
11642,3ghVB-KaU_E,30.0,man speaking continuously with hissing in the background,test
25400,A61Mry8zBwE,30.0,a crowd is clapping at a animal of some kind,test
102994,rjUrB1WUpcI,14.0,a sink faucet turning on then off as water pours then drains down a pipe,test
102997,9BukzlPNqC8,60.0,a power tool motor humming as compressed air hisses alongside a group of people talking in the background followed by hammering on a metal surface,test
102996,8OTd45_6cvY,30.0,a constant pounding noise followed by vibrating sounds,test
102991,Pg2cWEnEEvc,60.0,a series of burping and farting,test
102990,bIiiIo20PsY,10.0,a main is speaking over a group of bees are buzzing,test
102993,bmEF-c-M174,180.0,a duck quacks then a man speaks,test
102992,NDaVSIJaXVs,410.0,wind blowing with a distant jet engine humming,test
102999,KnXNy5Q6YS4,230.0,muffled speech and insect buzzing,test
102998,gr5Zss89yLQ,30.0,"a large motor vehicle engine is idling, an adult female speaks, vehicle traffic is present, and people talk in the background",test
105205,H7-orYrKBeo,70.0,a baby cries with a humming engine and some faint clicking,test
103800,XZTt1xdK8uQ,30.0,water gurgles while a vehicle engine accelerates with a loud exhaust,test
103801,WOywdRmySs0,190.0,a man talking followed by plastic crumpling and crinkling,test
103802,huMLK0oA3L8,110.0,a man talking then whistling as guitar music plays,test
103803,Yk274Wr5iIE,60.0,a vehicle driving by while splashing water as a stream of water trickles and flows followed by a thunder roaring in the distance while wind blows into a microphone,test
103804,Tdl9SmBbRnA,50.0,a vehicle engine accelerating then slowing down as a man talks in the background,test
103806,tfOIhQpYYe8,60.0,a helicopter flying as a man talks in the background,test
103807,y93cZqNCtks,470.0,a man talking as footsteps run on concrete followed by a series of gunshots firing a guns cocking while another man talks in the background before a dog growls,test
103808,Q3vkJMVMbC8,20.0,a toilet flushing followed by an infant shouting in the distance then another toilet flushing,test
103809,o_3MDLl_aH0,20.0,artillery cannons firing several times,test
103530,P4qd8uodw_M,0.0,a man talking faintly in the background followed by a metal click then a small horn honking twice,test
105778,AMQei29haCw,20.0,drilling with intermittent stopping and a man moaning briefly,test
105779,AKHZMg9ba30,30.0,male speech with people speaking in the background,test
105774,TwR8BA6buMI,30.0,a piano playing as plastic bonks,test
105775,YQGW5AwDOIo,560.0,vehicles driving by as people talk in the background,test
105776,Lxu-3_h4kc4,0.0,two large loud burps,test
105777,Ivg_q4t-3w0,1.0,a woman is talking followed by a tapping noise,test
105770,6cS0FsUM-cQ,30.0,a cat meowing and hissing and then female speech,test
105771,Or7umk40TZA,6.0,vibrating noise from an engine,test
105772,V4PLSw_WzVw,10.0,spinning tires on pavement,test
105773,jXkLS_QzUrI,29.0,steam hissing followed by a bird cawing during audio feedback humming,test
43613,K_Vre_-4KqU,60.0,small aircraft taking off and receding into the distance,test
106458,R4fXcbWFhJg,10.0,a man talking followed by a woman shouting then yelling as wind blows into a microphone while birds chirp in the background,test
106459,YflmW68gL4E,160.0,a person burps followed by laughter and a woman speaking,test
106454,xQDq3A4Zfbo,30.0,ocean waves crashing and water splashing as wind blows into a microphone followed by a man talking,test
106455,inSvboaSRwA,100.0,a male speaking and a saw running,test
106456,naPgJvWTIY4,80.0,a motorcycle engine running idle then revving,test
106457,n74IYuCe_ms,110.0,a river stream flowing followed by a kid talking,test
106450,szkiW0GXEOI,100.0,someone whistling followed by a bird tweeting with chirps in the background,test
106451,2RjqBRzmxaM,30.0,instrumental music playing as a woman speaks followed by rain pouring then rain falling on a surface,test
106452,n74IYuCe_ms,110.0,"a large volume of water is rushing, splashing and gurgling, and an adult male speaks briefly",test
106453,pI_kPedctoo,10.0,an engine running and being revved and some muffled speech,test
107325,dmUOSyPXkUw,200.0,an idle steam engine running while steam blows and hisses and a man talks faintly in the background,test
107324,eUecAF626A8,100.0,engines hum and vibrate and rev their engines,test
107327,q46VXJ6JN9M,10.0,footsteps shuffling followed by compressed air spraying then plastic camera muffling as birds chirp in the background,test
107326,hmd6pa2e_rs,30.0,a bus accelerating followed by a man speaking,test
107321,MTIF_l_8d4Q,0.0,"a baby is crying, and a woman speaks",test
107320,cr0GiZr0TNY,10.0,babies laugh with a spray noise,test
107323,YIqpIjjee00,30.0,"a flush occurs with water splashing and gurgling, and then water runs steadily",test
107322,1oOYqBroWoA,390.0,food  and oil sizzling followed by a woman speaking,test
103303,i1u_2eZYYlE,0.0,a short loud vibration,test
103302,UE3XnVFodMI,230.0,a crowd of people applauding followed by a woman talking on a microphone,test
103301,y1a8PntuXYw,0.0,a woman yelling in the distance followed by a toilet flushing as an air ventilation system runs,test
103300,kgjNIDmO8a8,30.0,an emergency vehicle siren blasts as a man speaks,test
103307,EBCH7TPgiPc,0.0,a vehicle engine accelerating at a rapid rate before slowing down,test
103305,473wBEwC35M,30.0,a man speaking as a vehicle horn honks in the background and another man talks in the distance,test
103304,WHRnyGXcdy8,24.0,an infant crying,test
103308,RNBoH2LHQEM,370.0,"a crowd applauds, and faint speech occurs",test
104453,JnSwRonB9wI,30.0,people laugh and scream as water splashes and wind blows,test
104451,ZsTZ7jqbd9M,170.0,footsteps walking on dirt as a man is talking and birds chirp in the background,test
104456,1DKLyH3FixM,100.0,a group of birds call and chirp for a while,test
104303,r2djvq1vc68,20.0,water pouring out of a faucet at a high rate followed by a container filling with liquid before splashing out proceeded by scrubbing on a plastic surface,test
104300,L8dA-2Lu2hY,20.0,loud wolf whistles occur twice in a quiet environment,test
104305,9xoYx3lTJ9I,5.0,wind blowing heavily into a microphone as a speedboat drives by and water splashes in the distance followed by a man talking,test
104308,zFzPOsOKog4,20.0,insects buzzing as tin containers clank and rattle while birds chirp in the background,test
104309,taYKM1OSTwE,120.0,Sheep bleating with a baby sheep baaing,test
104972,pI_kPedctoo,10.0,several motorcycle engines running and revving as a man talks in the background,test
104979,Mj_BO-iK1G4,310.0,vibrations from a sewing machine with clicking,test
106344,JsoBpL86R5U,10.0,a woman talking then a man talking followed by a goat baaing as a kid talks in the background,test
106345,TSdAJWJ-tW0,12.0,some cars passing by with people murmuring in the distance,test
106342,w_Utn3CwAXE,50.0,A toilet flushing with footsteps and door opening,test
102857,MdlEswBfZMQ,70.0,a group of children and a woman talking followed by a young girl talking,test
102850,CBwXKOpJY_o,30.0,a woman and child speak,test
102851,C9NC7wJ7C3w,30.0,a woman speaking,test
106793,kx6Rj4MDIAw,30.0,a train clicks on a track,test
106792,7P0N61TVOxE,150.0,a band plays horn and string instruments while waves crash nearby,test
106791,t3VFlDiEKgY,190.0,"mosquitoes are buzzing, and a man speaks",test
106790,vaujJ7msKfc,150.0,city ambiance with light music playing in the background followed by police sirens sounding in the distance,test
106797,lHh0SwUhP8U,120.0,a gunshot is followed by a click and clack and then a second gunshot,test
106796,9U8COLzEegs,420.0,"water pours, a horn honks, and a man speaks",test
106795,rvtA7c1I4xo,0.0,whooshing of wind followed by a man speaking with sneakers squeaking on hardwood,test
106794,sI7_ycEYzAY,30.0,A clock ticks repeatedly,test
106799,vigslb0kClE,100.0,rustling and knocking and then male speech with a goat vocalizing,test
106798,Xf5LjaE_JQ0,30.0,a man is speaking with rumbling in the background,test
103679,dkiwn2FdDVw,0.0,a young boy talking as a duck is quacking while water trickles and frogs croak in the background,test
103678,E3Q1jfTeuWs,30.0,a baby crying followed by heavy breathing and some light rattling,test
103673,U3CAjsm1sec,30.0,several cats meowing followed by a man singing,test
103672,onBZOH88OYs,30.0,white noise followed by intermittent hissing,test
103671,PLHXGDnig4M,3.0,a man talking then meowing and hissing,test
103670,dZDgJzGtLLU,290.0,"water is running, gurgling and splashing, and a quiet thump occurs",test
103677,BL8ksJ0sTXk,260.0,a vehicle engine running idle as a man is talking,test
103676,XL8JV9qXGLE,20.0,children speak and a woman speaks then a baby cries,test
103675,8b9z7N25DmU,60.0,humming of an approaching bus with squeaking brakes and people speaking in the distance,test
103674,kdflh3akyH8,20.0,a group of puppies whimpering as cardboard rustles,test
105855,yfYNPWs7mWY,380.0,"male speech, a door closing, and then male speech",test
105854,6NBPiArs2-w,80.0,rapid gunfire with far away voice,test
105857,Lh0UmwRgA7s,30.0,sirens ringing repeatedly,test
105856,MTaLknnq4wc,60.0,whistling and then a female singing,test
105851,E3D_z0aoUEg,30.0,a frog croaking and insects vocalizing with a humming,test
105850,qF72bT878gw,14.0,a water vehicle is traveling across water,test
105853,UQtBt6CQpwg,30.0,a sewing machine operating idle followed by a man talking then several instances of metal ratcheting,test
105859,hV4bDCBDCy0,90.0,vehicle running with a far away voice in the background,test
105858,6TO9PEGpZcQ,30.0,"a fire truck sounds the siren, and an engine is idling",test
21574,8BPTQO_cx7E,20.0,a man talking followed by a crowd laughing and applauding,test
13397,4SZ7JXDCNps,210.0,a car is accelerating,test
104758,IJ6pm5Kns8A,170.0,a man talking followed by a woman talking while an electronic beep plays with a person claps before someone belches then a man and woman laugh,test
104755,TtRtURWVYBE,40.0,a series of bell chimes and ringing,test
