name,name_english
ばさばさした感じの沢山の拍手,Rustling-sounding loud applause
軽い感じの沢山の拍手,Light-sounding loud applause
広い会場での沢山の拍手,Applause from a large audience in a spacious venue
雨の音のような沢山の拍手,Applause resembling the sound of rain
女の人の歓声とたくさんの拍手,Women's cheers and lots of applause
歓声と拍手,Cheers and applause
手を叩く,Clapping hands
拍手,Applause
大勢の拍手,Applause from a large crowd
３人が拍手,Three people clapping
6人ぐらいが拍手,About six people clapping
広い会場での大勢の拍手,Applause from a large crowd in a spacious venue
削ってハサミでカット,Scraping and cutting with scissors
プラスチック下敷きを仰ぐ,Fanning a plastic desk pad
長い刃の刈り込み鋏,Long-bladed hedge shears
20cmほどの裁ち鋏,Approximately 20 cm tailor’s scissors
時報,Time signal (chime)
目覚まし時計,Alarm clock
デジタル時計のタイマー,Digital clock timer
ゲーム内のタイマー,In-game timer
アナログ時計の秒針の音,Sound of an analog clock’s second hand
木管楽器とチャイムがリズムに乗って鳴る,Woodwind instruments and chimes playing rhythmically
クッキングタイマー,Cooking timer
強い風が壁に当たる音,Sound of strong wind hitting a wall
大きな物体がすれ違う音,Sound of a large object passing by
大きな物体が当たる音,Sound of a large object hitting something
早い物体が通り抜ける音,Sound of a fast object passing through
大きな物体が通り抜ける音,Sound of a large object passing through
風が通った音,Sound of wind passing through
金属音,Metallic sound
お風呂の蓋,Bathtub lid
木の蓋,Wooden lid
木を転がす音,Sound of rolling wood
洗濯機の脱水,Washing machine spin cycle
ドライヤー様のファンの音,Hair dryer-like fan sound
食洗機に水が注入される音,Sound of water being poured into a dishwasher
食洗機が洗浄されている音,Dishwasher washing sound
鉄パイプに熱い空気が流れる音,Sound of hot air flowing through an iron pipe
業務用洗浄機・蒸気音,Commercial washer steam sound
洗濯機で洋服が偏っている音,Sound of clothes unbalanced in a washing machine
"s/wON,OFFで風を大量に出す機械の音",Sound of a machine blowing a large amount of air with switch ON/OFF
洗濯機の音,Washing machine sound
布団を入れた洗濯機,Washing machine with a futon inside
脱水機,Spin dryer
水を注入している音,Sound of water being poured
洗浄機が回転している音,Sound of a washing machine rotating
高圧洗浄の水を貯める音,Sound of water from a high-pressure washer being collected
洗濯機の回転する音,Sound of a washing machine spinning
洗濯機に水を貯める音,Sound of water filling a washing machine
洗濯機の脱水の音,Sound of a washing machine spinning (dehydrating)
洗濯機に水を入れる,Filling water into a washing machine
空の洗濯機に全自動で水が入り回転する音,Sound of an empty washing machine automatically filling with water and spinning
お風呂の蓋をする音,Sound of closing a bathtub lid
高音の縦笛,High-pitched recorder
電子ピアノ,Digital piano
重そうな人が古い床を歩く音,Sound of a heavy person walking on an old wooden floor
振り子時計,Pendulum clock
金属音の振り子時計,Pendulum clock with metallic sound
太く大きな振り子時計,"Thick, deep-sounding pendulum clock"
軽い音の振り子時計,Light-sounding pendulum clock
ダイヤルが回って反響音が長い鳴る時計,Clock with a dial turning and a long echoing chime
メトロノーム,Metronome
高い音のメトロノーム,High-pitched metronome
ダイヤルを回す音,Sound of turning a dial
3時を知らせる振り子時計,Pendulum clock chiming 3 o'clock
高音の振り子時計,High-pitched pendulum clock
４時を知らせる振り子時計,Pendulum clock chiming 4 o'clock
時計塔の低い鐘,Low bell of a clock tower
高音の金の音,High-pitched metallic sound
西洋の鐘の音,Western-style bell sound
回転させる音,Sound of rotating
西洋の振り子時計,Western-style pendulum clock
高音のローリングボールチャイム,High-pitched rolling ball chime
低いチャイムのローリングボールチャイム,Low-pitched rolling ball chime
中音のローリングボールチャイム,Mid-pitched rolling ball chime
太い音のローリングボールチャイム,Deep-sounding rolling ball chime
続けて２回金属音長めの振り子時計,Pendulum clock with two consecutive long metallic chimes
１回だけの金属音長めの振り子時計,Pendulum clock with a single long metallic chime
２回続けて少し鈍い音の振り子時計の音,Pendulum clock sound with two consecutive slightly dull chimes
4回続けて大きな少し鈍い音の振り子時計の音,"Pendulum clock sound with four consecutive loud, slightly dull chimes"
ゼンマイがぐるりと回転して鐘がなる,Spring winding around with bell ringing
古いメトロノーム,Old metronome
ゼンマイがぐるりと回転して1回鐘がなる,The spring winds fully around and the bell rings once
ゼンマイがぐるりと回転して２回鐘がなる,The spring winds fully around and the bell rings twice
ゼンマイがぐるりと回転して3回鐘がなる,The spring winds fully around and the bell rings three times
ゼンマイがぐるりと回転して4回鐘がなる,The spring winds fully around and the bell rings four times
ゼンマイがぐるりと回転して5回鐘がなる,The spring winds fully around and the bell rings five times
ゼンマイがぐるりと回転して6回鐘がなる,The spring winds fully around and the bell rings six times
ゼンマイがぐるりと回転して7回鐘がなる,The spring winds fully around and the bell rings seven times
ゼンマイがぐるりと回転して8回鐘がなる,The spring winds fully around and the bell rings eight times
ゼンマイがぐるりと回転して9回鐘がなる,The spring winds fully around and the bell rings nine times
ゼンマイがぐるりと回転して10回鐘がなる,The spring winds fully around and the bell rings ten times
1回鐘がなる,The bell rings once
2回鐘がなる,The bell rings twice
3回鐘がなる,The bell rings three times
4回鐘がなる,The bell rings four times
5回鐘がなる,The bell rings five times
6回鐘がなる,The bell rings six times
7回鐘がなる,The bell rings seven times
8回鐘がなる,The bell rings eight times
9回鐘がなる,The bell rings nine times
10回鐘がなる,The bell rings ten times
４回鐘がなる,Bell rings 4 times
４回高音の鐘がなる,High-pitched bell rings 4 times
４回低音で響く鐘の音,Deep resonant bell sound ringing 4 times
1回高音の鐘が鳴る,High-pitched bell rings once
よく響く鐘の音１回,"Loud, resonant bell sound once"
低音の響く鐘の音1回,Deep resonant bell sound once
低音の響く鐘の音2回,Deep resonant bell sound twice
低音の響く鐘の音3回,Deep resonant bell sound three times
低音の響く鐘の音4回,Deep resonant bell sound four times
低音の響く鐘の音5回,Deep resonant bell sound five times
低音の響く鐘の音6回,Deep resonant bell sound six times
低音の響く鐘の音7回,Deep resonant bell sound seven times
低音の響く鐘の音8回,Deep resonant bell sound eight times
低音の響く鐘の音9回,Deep resonant bell sound nine times
低音の響く鐘の音10回,Deep resonant bell sound ten times
1回低い鐘の音,Low-pitched bell rings once
2回低い鐘の音,Low-pitched bell rings twice
3回低い鐘の音,Low-pitched bell rings three times
4回低い鐘の音,Low-pitched bell rings four times
5回低い鐘の音,Low-pitched bell rings five times
6回低い鐘の音,Six low bell chimes
7回低い鐘の音,Seven low bell chimes
映写機の音,Sound of a film projector
低い音の振り子時計2回なる,Two low chimes of a pendulum clock
響く音の振り子時計4回なる,Four resonant chimes of a pendulum clock
ゼンマイを巻く音,Sound of winding a spring (clock)
機械のチャイムの音,Mechanical chime sound
横断歩道の機械音でとおりゃんせ,"Mechanical sound of a pedestrian crossing playing ""Tooryanse"""
横断歩道の機械音でCommon Frae the Town,"Mechanical sound of a pedestrian crossing playing ""Common Frae the Town"""
高音の横断歩道の機械音でCommon Frae the Town,"High-pitched mechanical sound of a pedestrian crossing playing ""Common Frae the Town"""
横断歩道の機械音,Mechanical sound of a pedestrian crossing
高音の機械音,High-pitched mechanical sound
高音の機械音目覚まし時計,High-pitched mechanical alarm clock sound
高音の鳥の鳴き声のような機械音,High-pitched mechanical sound resembling a bird’s call
ノコギリでカットする音,Sound of cutting with a saw
機械を回す音,Sound of turning a machine
ハサミで髪を切る音,Sound of cutting hair with scissors
太い油性ペンで厚紙に書く音,Sound of writing on thick paper with a thick permanent marker
太い油性ペンで滑らかな紙に書く音,Sound of writing on smooth paper with a thick permanent marker
濃い鉛筆でデッサンする音,Sound of sketching with a dark pencil
濃い鉛筆で文字を書く音,Sound of writing with a dark pencil
木の車輪を動かす音,Sound of moving wooden wheels
細い油性のペンで文字を書く,Sound of writing with a thin oil-based pen
細く硬いペン先の油性のペンで文字を書く,"Sound of writing with a thin, hard-tipped oil-based pen"
サインペンで丸つけをする音,Sound of circling with a marker pen
サインペンで文字を書く音,Sound of writing with a marker pen
石板に文字を書く音,Sound of writing on a slate
ボールペンで文字を書く音,Sound of writing with a ballpoint pen
ボールペンで厚みのある紙に文字を書く音,Sound of writing with a ballpoint pen on thick paper
糸巻き機が巻く音,Sound of a thread winding machine
ゆっくりなピンポンチャイム音,Slow ping-pong chime sound
高音の呼び出し音,High-pitched call tone
高音で反響する呼び出し音,"High-pitched, echoing call tone"
鳩時計1回鳴く,Cuckoo clock cuckoos once
鳩時計4回鳴く,Cuckoo clock cuckoos four times
金属音の鳩時計4回鳴く,Metallic cuckoo clock cuckoos four times
扉が開いて出てくるタイプの木製の鳩時計で2回鳴く,"Wooden cuckoo clock with door opening, cuckoos twice"
扉が開いて出てくるタイプの木製の鳩時計で４回鳴く,"Wooden cuckoo clock with door opening, cuckoos four times"
扉が開いて出てくるタイプの木製の鳩時計で８回鳴く,"Wooden cuckoo clock with door opening, cuckoos eight times"
機械の鳩時計の音で4回鳴く,Mechanical cuckoo clock cuckoos four times
機械の鳩時計の音で2回鳴く,"Mechanical cuckoo clock sound, cuckoos twice"
扉のない鳩時計4回鳴く,"Cuckoo clock without a door, cuckoos four times"
電子音で高音の鳩時計4回鳴く,"Electronic high-pitched cuckoo clock sound, cuckoos four times"
高ヘルツの機械音,High-frequency mechanical sound
電子カメラのシャッター音,Electronic camera shutter sound
歯医者さんのドリル音,Dentist’s drill sound
機械音でソファ＃ファミと下がる音,Mechanical sound of a sofa moving down by a semitone (F# to F)
ビブラートのかかった機械音でソファ＃ファミと下がる音,Vibrato mechanical sound of a sofa moving down by a semitone (F# to F)
木の箱にある木の破片をシェイクする音,Sound of shaking wooden fragments inside a wooden box
手鈴の曇った音,Muffled sound of a handbell
豆の入った蓋を開けて容器に豆を入れて木の蓋をする音,"Sound of opening a lid with beans inside, pouring beans into a container, and closing a wooden lid"
豆の入った木筒を転がす音,Sound of rolling a wooden cylinder filled with beans
大きめの手鈴の音,Sound of a larger handbell
木のボールを鉄のカゴの中で回す音,Sound of rolling wooden balls inside an iron basket
プラスチックのおはじきを掻き回す音,Sound of stirring plastic counters
小さめの手鈴,Small handbell
中位の手鈴,Medium handbell
少し大きめの手鈴,Slightly larger handbell
豆を木べらでかき回す音,Sound of stirring beans with a wooden spatula
小さな豆を鍋の中でかき回す音,Sound of stirring small beans inside a pot
荷馬車の車輪の音,Sound of a wagon wheel turning
ゲームBoyのゲーム音クリアした時の音,Game Boy sound when clearing a game
ストーリーゲームの音楽で継続中,Background music in a story game (ongoing)
宇宙ゲームの音楽,Space game music
宇宙ゲームの音楽ステレオバージョン,Space game music (stereo version)
呼び鈴ロングバージョン,Doorbell (long version)
呼び鈴ショートバージョン,Doorbell (short version)
呼び鈴間を空けて2回,Doorbell rung twice with pauses
呼び鈴間を空けて4回,Doorbell rung four times with pauses
呼び鈴早く振る,Doorbell rung rapidly
自転車のチェーンを回す音,Sound of a bicycle chain turning
ザルに豆を入れて洗う音,Sound of washing beans in a colander
休まず泣き続ける雛鳥の鳴き声,Continuous crying of a baby bird without pause
すごい速さで休まず泣き続ける雛鳥の鳴き声,"Rapid, continuous crying of a baby bird without pause"
すごい速さで休まず泣き続ける鳥の鳴き声,"Rapid, continuous crying of a bird without pause"
休まずずっと泣き続ける雛鳥の鳴き声,Continuous crying of a baby bird without stopping
鳥の声,Birdsong
ゲームの爆弾の音,Sound of a bomb in a game
流れ星,Shooting star
星が光る音,Sound of stars twinkling
小さな星が光る音,Sound of a small star shining
プリンター,Printer
鐘,Bell
ドラム,Drum
爆発,Explosion
プロペラ,Propeller
カーレース,Car race
モーター,Motor
ゴング,Gong
紙,Paper
ページめくり,Page turning
踏切,Railroad crossing
着信音,Ringtone
バイブ,Vibration
キーボード,Keyboard
ギター,Guitar
喧騒,Noise (bustle)
学校のチャイム,School chime
学校の早いチャイム,Fast school chime
電子音の学校のチャイム,Electronic school chime
太鼓,Drum
心臓の鼓動,Heartbeat
石が床に落ちる,Stone falling on the floor
アラーム,Alarm
ローブを振る,Rubbing a robe
星が光る,Twinkling stars
鐘を叩く,Striking a bell
金属が床に落ちる,Metal falling on the floor
ぜんまいを巻く,Winding a spring
電源が入った,Power turning on
紙を握る,Crumpling paper
ベル,Bell
電気が流れる,Electric current flowing
鐘が鳴る,Bell ringing
ビニール袋を触る,Touching a plastic bag
空気が抜ける,Air escaping
紙が切れる,Paper tearing
ボールが弾む,Ball bouncing
ワープ,Warping
津波,Tsunami
ノイズ,Noise
ノイズと風,Noise and wind
星が輝く,Stars shining
雨,Rain
ダムの放水,Dam water release
泡が弾ける,Bubbles popping
スロット,Slot machine
ガラスを拭く,Wiping glass
レーザービーム,Laser beam
金属を叩く,Hitting metal
キーボードを叩く,Typing on keyboard
時計が動く,Clock ticking
シャーペンを押す,Clicking a mechanical pencil
足音,Footsteps
壁を叩く,Tapping on wall
受話器を置く,Placing down a telephone receiver
鍵をかける,Locking a door
保留音,Hold music
電話が切れた,Phone disconnected
電話の呼出音,Telephone ringing tone
虫が飛ぶ,Insects flying
虫の声,Insect sounds
虫の声と街の雑踏,Insect sounds with city noise
床の軋み,Floor creaking
枝が折れる,Branch breaking
タイプライター,Typewriter
ドアを閉める,Closing a door
ドアを開けて部屋に入る,Opening a door and entering a room
タイピングする音,Typing sound
電卓をたたく音,Calculator tapping sound
タ、タッタタ,"Ta, tat-ta-ta (rhythmic tapping sound)"
ボタンを押す音,Button pressing sound
タイピングの音,Typing sound
タイプライターを押す音,Typewriter key pressing sound
掃除機をかける音,Vacuum cleaner running sound
掃除機を起動する音,Vacuum cleaner starting sound
工具箱を開く音,Toolbox opening sound
木槌でたたく音,Sound of tapping with a wooden mallet
木槌を置く音,Sound of placing down a wooden mallet
何かを当てて擦る音,Sound of rubbing something against an object
蓋をあける？,Opening a lid?
置いてしまう音？,Sound of placing something down?
雷が落ちる音,Sound of thunder striking
雷が鳴る音,Sound of thunder rumbling
風が吹く音,Sound of wind blowing
嵐,Storm
強雨,Heavy rain
強風,Strong wind
雨と雷,Rain and thunder
風雨,Wind and rain
鉄楽器,Percussion instrument (metal)
何かをこする音,Sound of something being rubbed
何かが回転している音,Sound of something rotating
何かを起動させている音,Sound of something starting up
何かを起動する音,Sound of starting something
スイッチを切る音,Sound of switching off
テープを起動？,Starting a tape?
起動終了,Startup complete
テープが回転,Tape spinning
ドライヤー,Hair dryer
テレビの砂嵐,TV static noise
何かを回転させている音,Sound of something rotating
掃除機,Vacuum cleaner
ハープ？,Harp?
爆弾が爆発,Bomb explosion
時計の針,Clock hands ticking
リズムを刻む,Keeping a rhythm
そろばんの球をなぞる,Sliding abacus beads
秒針の音,Second hand ticking
ブザー,Buzzer
宇宙船の音,Spaceship sound
エンジン音,Engine sound
エンジン音・風を切る音,Engine sound and wind rushing
風の音,Wind sound
爆発音,Explosion sound
効果音,Sound effect
手拍子,Hand clapping
疑問の効果音,Question sound effect
モールス信号,Morse code
雨の音,Rain sound
金属が当たる音,Sound of metal hitting metal
物が当たってガラスが割れる音,Sound of an object hitting and breaking glass
狙撃音,Sniper shot sound
ベルの音,Bell sound
ものを切る音,Sound of cutting something
アラームオン,Alarm turning on
ライオン,Lion (animal sound)
水をいれる音,Sound of pouring water
エアコンスイッチの音,Air conditioner switch sound
エアコンのルーバーが動く音,Sound of air conditioner louvers moving
エアコンの風の音,Sound of air conditioner airflow
スイッチの音,Switch sound
リモコンの音,Remote control button sound
コールオン,Call button activation sound
チーンチーンチーンチーンチーンチーンチーン,Chime chime chime chime chime chime chime chime
チーンチーンチーンチーンチーンチーンチーンチーンチーンチーン,Chime chime chime chime chime chime chime chime chime chime chime
コーンコーンコーンコーンコーンコーン,Horn honk honk honk honk honk honk
コーンコーンコーンコーンコーンコーンコーン,Horn honk honk honk honk honk honk honk
コーンコーンコーンコーンコーンコーンコーンコーン,Horn honk honk honk honk honk honk honk honk
コーンコーンコーンコーンコーンコーンコーンコーンコーン,Horn honk honk honk honk honk honk honk honk honk
時計の秒針,Clock second hand
ブザー音,Buzzer sound
不明,Unknown
ファン強風,Strong wind from a fan
強風の音,Sound of strong wind
扇風機の音,Sound of an electric fan
弱の風の音,Sound of a gentle breeze
大きなファンが回る音,Sound of a large fan spinning
風に揺られてぶつかり合う金属音,Sound of metal clashing as it sways in the wind
エアコンのルーバーが閉まる音,Sound of air conditioner louvers closing
歯車の音,Gear sound
何かが外れる音,Sound of something coming off
スイッチの電子音,Electronic switch sound
ファンがゆっくり止まる音,Sound of a fan slowly stopping
低速で大きなファンが回る音,Sound of a large fan spinning at low speed
中速で大きなファンが回る音,Sound of a large fan spinning at medium speed
高速で大きなファンが回る音,Sound of a large fan spinning at high speed
低速と中速のリズム風のファンの音,Rhythmic fan sound alternating low and medium speeds
超低速と低速のリズム風のファンの音,Rhythmic fan sound alternating ultra-low and low speeds
低速の扇風機の音,Sound of a fan running at low speed
ファンが回る音,Sound of a fan spinning
暖房の風の音,Sound of warm air from a heater
着火する音,Sound of igniting a fire
ふたつきのドラム缶を引きずるような音,Sound of dragging a drum can with a lid
缶と引き出しの音,Sound of a can and a drawer
大きめの鐘の音,Sound of a large bell
何かを叩く音,Sound of hitting something
硬い木の箒で硬い面を擦る音,Sound of a hard wooden broom scraping a hard surface
箒で落ち葉を掃く音,Sound of sweeping fallen leaves with a broom
ガラスの破片を掃く音,Sound of sweeping glass shards
高水圧で水をかける音,Sound of water sprayed at high pressure
厚めの紙を裁断する音,Sound of cutting thick paper
ツールボックスの中を物色する音,Sound of rummaging inside a toolbox
カッターの歯を出し入れする音,Sound of sliding a cutter blade in and out
チャイムの音,Sound of a chime
袋の中に入ったたくさんの缶が当たり合う音,Sound of many cans clinking inside a bag
ツールボックスに入った金属の道具が当たる音,Sound of metal tools clanging inside a toolbox
水の中にあるタオルを水揚げして絞る音,Sound of wringing a towel soaked in water
電鋸で何かを切る音,Sound of cutting something with a chainsaw
ブラシで磨く音,Sound of brushing and polishing
金属の鍵を回すような音,Sound of turning a metal key
何かを回す音,Sound of turning something
扉が開く音,Sound of a door opening
体育館でバスケットボールをする音,Sound of playing basketball in a gymnasium
シューズでフロアをターンする音,Sound of shoes turning on the floor
子供たちの喋り声,Children's chatter
笛の音,Sound of a whistle
バレーボール中に声を出す男性,Man shouting during volleyball
バレーボールの音,Sound of volleyball
剣道の試合中の音,Sounds during a kendo match
拍手の音,Sound of clapping
歓声,Cheers
ブザーの音,Sound of a buzzer
応援の音,Sound of cheering
太鼓の音,Sound of drums
ホイッスルの音,Sound of a whistle
砂地のグラウンドの足音,Footsteps on a sandy ground
ゴングの音,Sound of a gong
ボクシング中のセコンドの声,Corner man’s voice during boxing
ボクシング中のパンチの音,Sound of punches during boxing
子供たちが校庭で遊ぶ音,Children playing in the schoolyard
室内で多くの人がしゃべっている,Many people talking indoors
サッカーのゲーム中の音,Sounds during a soccer game
バドミントンの音,Sound of badminton
掛け声,Shouts or calls (cheers)
野球の掛け声,Baseball shouts or calls
バットで打つ音,Sound of hitting with a bat
セミの鳴き声,Cicada chirping
卓球の音,Sound of table tennis
野球の守備の掛け声,Baseball defensive calls
審判のストライクコール,Umpire’s strike call
何かを磨く音,Sound of polishing or scrubbing something
ペンで描く音,Sound of drawing with a pen
水の中に空気が入る音,Sound of air entering water
包装紙を破る音,Sound of tearing wrapping paper
ビニール袋の音,Sound of a plastic bag
傘に水が当たる音,Sound of water hitting an umbrella
傘が開く音,Sound of an umbrella opening
バケツの中の石を混ぜる音,Sound of stirring stones in a bucket
傘を閉める音,Sound of closing an umbrella
電動で鉛筆を削る音,Sound of an electric pencil sharpener
チップスを食べる音,Sound of eating chips
硬いものを食べる音,Sound of eating something hard
せんべいを食べる音,Sound of eating rice crackers
スナックを食べる音,Sound of eating snacks
容器に水が入る音,Sound of water being poured into a container
缶を開ける音,Sound of opening a can
炭酸が注がれる音,Sound of carbonated drink being poured
やかんが沸騰する弟,Sound of a kettle boiling
コンロを止める音,Sound of turning off a stove
お湯を注ぐ音,Sound of pouring hot water
やかんを置く音,Sound of placing a kettle down
ポットの出るボタンを押す音,Sound of pressing a button on a hot water dispenser
お湯が出る音,Sound of hot water flowing
すする音,Sound of sipping
飲み込む音,Sound of swallowing
容器をスプーンで混ぜる音,Sound of stirring a container with a spoon
容器にスプーンを当てる音,Sound of a spoon tapping a container
飛行機が通り過ぎる音,Sound of an airplane flying by
空港内の音,Sounds inside an airport
空港内のアナウンス,Announcement inside an airport
駅構内の音,Sounds inside a train station
ヘリコプターが通り過ぎる音,Sound of a helicopter passing by
電車内の音,Sounds inside a train
飛行機内の音,Sounds inside an airplane
バス内の音,Sounds inside a bus
バスがエンジンをかけて出発する音,Sound of a bus starting its engine and departing
バスのエンジン音,Bus engine sound
バスの扉の開閉音,Sound of bus doors opening and closing
バスのアナウンス,Bus announcement
話し声,Voices talking
飛行機が滑走路を走る音,Sound of an airplane taxiing on the runway
電車が通り過ぎる音,Sound of a train passing by
電車の扉が閉まる音,Sound of train doors closing
改札の音,Ticket gate sound
人が行き交う音,Sounds of people coming and going
アナウンス,Announcement
駅のホーム内アナウンス,Announcement on a train station platform
新幹線のホーム内アナウンス,Announcement on a Shinkansen platform
キャリーを引きずる音,Sound of dragging a suitcase
人の喋り声,Human talking voices
改札口・切符売り場,Ticket gate and ticket counter
電車の音,Sound of a train
駅構内,Inside a train station
駅のホームで電車が近づく音,Sound of a train approaching the platform
 電車の音,Sound of a train
切符売り場の音,Sounds at the ticket counter
飛行機内の離陸時,Airplane taking off inside the cabin
踏切の音,Railroad crossing sound
踏切のバーが開く音,Sound of the railroad crossing barrier opening
道路の音,Road traffic sounds
クラクション,Car horn
トースターのスイッチ,Toaster switch sound
タイマー,Timer sound
沸騰する音,Boiling sound
やかんの笛,Whistling kettle
食器を重ねる音,Sound of stacking dishes
蓋を開けた状態で煮える音,Sound of boiling with the lid open
蓋を閉める,Closing the lid
蓋を閉めた状態で煮える音,Sound of boiling with the lid closed
包丁で切る音,Sound of cutting with a kitchen knife
電子ケトルで水を沸騰させる音,Sound of water boiling in an electric kettle
スイッチが切れる音,Sound of a switch turning off
水が沸騰する音,Sound of water boiling
炒める音,Sound of stir-frying
油で揚げる音,Sound of frying in oil
野菜をおろす音,Sound of grating vegetables
換気扇をつける音,Sound of turning on a ventilation fan
換気扇が回る音,Sound of a ventilation fan running
換気扇をとめる音,Sound of turning off a ventilation fan
電子レンジが回る音,Sound of a microwave running
電子レンジが止まる音,Sound of a microwave stopping
電子レンジを開ける音,Sound of opening a microwave door
電子レンジに皿を入れる音,Sound of placing a plate in a microwave
電子レンジを閉める音,Sound of closing a microwave door
卵をかき混ぜる音,Sound of whisking eggs
焼く音,Sound of grilling or baking
食器の音,Sound of dishes or tableware
蛇口で水を出す音,Sound of water running from a faucet
水が溜まる音,Sound of water filling up
蛇口を開ける音,Sound of turning on a faucet
蛇口を閉める音,Sound of turning off a faucet
蓋を閉めた状態で沸騰,Boiling with the lid closed
蓋を開けた状態で沸騰,Boiling with the lid open
包丁を研ぐ音,Sound of sharpening a kitchen knife
煮える音,Sound of simmering
ガスコンロをつける音,Sound of lighting a gas stove
火がついている,Flame burning
ガスコンロを止める音,Sound of turning off a gas stove
ガスコンロ点火する音,Sound of igniting a gas stove
水が出る音,Sound of water running
食器を洗って片付ける音,Sound of washing and putting away dishes
水が鍋に入る音,Sound of water pouring into a pot
水がたまる音,Sound of water filling up
電子音,Electronic beep
シャッター音,Camera shutter sound
かすかな音,Faint sound
プリンターの印刷音,Printer printing sound
ラジオの入らないチャンネル,Static noise on a radio channel
キーボードをたたく音,Sound of typing on a keyboard
ゆっくりキーボードをたたく音,Slow keyboard typing sound
更にゆっくりキーボードをたたく音,Even slower keyboard typing sound
お湯をかける音,Sound of pouring hot water
桶を置く音,Sound of placing a wooden bucket
水の音,Sound of water
水を排出,Water draining sound
水が落ちる,Sound of water dripping
水が落ちる	ぽん,"Water dripping sound with a ""pon"" pop"
水が流れる、蛇口を閉める,Sound of water flowing and turning off a faucet
水が流れる,Sound of flowing water
トイレを流す,Toilet flushing sound
水を打つ,Sound of striking water
水,Water sound
木槌を打つ,Sound of striking with a wooden mallet
水滴が落ちる,Sound of water droplets falling
水を流す,Sound of running water
電話のベル,Telephone ringing
電話で相手が出ずにきれた,Call ended without answer
ダイヤル音,Dial tone
電話の呼び出し音,Telephone ringing tone
電動髭剃り,Electric razor
送風機を起動しスイッチを切る,Starting and stopping a blower fan
送風機,Blower fan
ご、ご、ご,"Go, go, go (repetitive humming or buzzing sound)"
バイブレーション,Vibration
電話発信,Dialing a telephone
掃除機をかける,Vacuuming
洗濯機,Washing machine
雑踏での会話,Conversation in a crowded place
雑踏,Crowd noise
駅,Train station
電車,Train
雑踏（電車・駅）,Crowd noise (train station)
屋外の雑音（人の足音、、会話、地下水が流れるような音）,"Outdoor ambient noise (footsteps, conversations, sound like flowing underground water)"
